Team,Last Championship,Last Championship Appearance,Last Playoffs,Founded/Arrived,Moved,Cold Weather City,Tortured
Chicago Cubs,1908,1945,2008,1876,,Y,Y
Cleveland Indians,1948,1997,2013,1894,,Y,
Texas Rangers,-,2011,2012,1961,,N,
Houston Astros,-,2005,2005,1962,,N,
Milwaukee Brewers,-,1982,2011,1969,,Y,
San Diego Padres,-,1998,2006,1969,,N,
Washington Nationals,-,-,2012,1969,,N,
Seattle Mariners,-,-,2001,1977,,N,
Pittsburgh Pirates,1979,1979,2013,1882,,Y,
Baltimore Orioles,1983,1983,2012,1894,,N,
Detroit Tigers,1984,2012,2013,1894,,Y,
Kansas City Royals,1985,1985,1985,1969,,N,
New York Mets,1986,2000,2006,1962,,Y,
Los Angeles Dodgers,1988,1988,2013,1958,,N,
Brooklyn Dodgers,1955,1956,1956,1883,1958,Y,
Oakland Athletics,1989,1990,2013,1968,,N,
Cincinnati Reds,1990,1990,2013,1881,,Y,
Minnesota Twins,1991,1991,2010,1961,,Y,
Colorado Rockies,-,2007,2009,1993,,N,
Toronto Blue Jays,1993,1993,1993,1977,,Y,
Atlanta Braves,1995,1999,2013,1966,,N,
Tampa Bay Rays,-,2008,2013,1998,,N,
Arisona Diamondbacks,2001,2001,2011,1998,,N,
Los Angeles Angels of Anaheim,2002,2002,2009,1961,,N,
Miami Marlins,2003,2003,2003,1993,,N,
Chicago White Sox,2005,2005,2008,1900,,Y,
Philadelphia Phillies,2008,2009,2011,1883,,Y,
New York Yankees,2009,2009,2012,1903,,Y,
St Louis Cardinals,2011,2013,2013,1882,,N,
San Francisco Giants,2012,2012,2012,1958,,N,
Boston Red Sox,2013,2013,2013,1901,,Y,
Montreal Expos,-,-,1981,1969,2004,Y,
,,,,,,,
Toronto Maple Leafs,1967,1967,2013,1917,,Y,
St Louis Blues,-,1970,2013,1967,,N,
Buffalo Sabres,-,1999,2011,1970,,Y,
Vancouver Canucks,-,2011,2013,1970,,N,
Washington Capitals,-,1998,2013,1974,,,
Philadelphia Flyers,1975,2010,2012,,,,
Phoenix Coyotes,-,-,2012,1996,,,
New York Islanders,1983,1984,2013,1972,,,
Calgary Flames,1989,2004,2009,1980,,,
Edmonton Oilers,1990,2006,2006,1972,,,
San Jose Sharks,-,-,2013,1991,,,
Ottawa Senators,-,2007,2013,1992,,,
Montreal Canadiens,1993,1993,2013,1909,,,
Florida Panthers,-,1996,2012,1993,,,
New York Rangers,1994,1994,2013,1926,,,
Nashville Predators,-,-,2012,1998,,,
Dallas Stars,1999,2000,2008,1993,,,
Winnipeg Jets,-,-,-,2011,,,
Minnesota Wild,-,-,2013,2000,,,
Columbus Blue Jackets,-,-,2009,1997,,,
Colorado Avalanche,2001,2001,2010,1995,,,
New Jersey Devils,2003,2012,2012,1982,,,
Tampa Bay Lightning,2004,2004,2011,1992,,,
Carolina Hurricanes,2006,2006,2009,1997,,,
Anaheim Ducks,2007,2007,2013,1993,,,
Detroit Red Wings,2008,2009,2013,1926,,,
Pittsburgh Penguins,2009,2009,2013,1967,,,
Boston Buins,2011,2013,2013,1924,,,
